Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05163	0.04428	0.05980	1.348	0.054	0.040	0.182	0.818	32	144
0.04513	0.03487	0.05925	1.346	0.106	0.079	0.182	0.818	63	284
0.03721	0.03254	0.04368	1.259	0.074	0.059	0.172	0.828	44	212
0.03539	0.03254	0.03901	1.092	0.046	0.042	0.153	0.847	27	150
0.03539	0.03254	0.03901	1.092	0.046	0.042	0.153	0.847	27	150
0.03535	0.03247	0.03901	1.078	0.046	0.042	0.151	0.849	27	152
0.03527	0.03247	0.03870	1.011	0.042	0.042	0.143	0.857	25	150
0.03520	0.03241	0.03859	1.011	0.042	0.042	0.143	0.857	25	150
0.03520	0.03241	0.03859	1.011	0.042	0.042	0.143	0.857	25	150
0.03515	0.03233	0.03859	0.991	0.042	0.043	0.140	0.860	25	153
0.03515	0.03233	0.03859	0.991	0.042	0.043	0.140	0.860	25	153
0.03513	0.03225	0.03859	0.985	0.042	0.043	0.140	0.860	25	154
0.03495	0.03215	0.03829	0.964	0.040	0.042	0.137	0.863	24	151
0.03495	0.03215	0.03829	0.964	0.040	0.042	0.137	0.863	24	151
0.03495	0.03215	0.03829	0.964	0.040	0.042	0.137	0.863	24	151
0.03495	0.03215	0.03829	0.964	0.040	0.042	0.137	0.863	24	151
0.03490	0.03199	0.03829	0.946	0.040	0.043	0.135	0.865	24	154
0.03477	0.03176	0.03829	0.899	0.040	0.045	0.129	0.871	24	162
0.03446	0.03147	0.03803	0.872	0.039	0.044	0.126	0.874	23	160
0.03434	0.03147	0.03760	0.861	0.037	0.043	0.124	0.876	22	155
0.03422	0.03140	0.03734	0.822	0.035	0.043	0.119	0.881	21	155
0.03422	0.03140	0.03734	0.822	0.035	0.043	0.119	0.881	21	155
0.03422	0.03140	0.03734	0.822	0.035	0.043	0.119	0.881	21	155
0.03422	0.03140	0.03734	0.822	0.035	0.043	0.119	0.881	21	155
0.03420	0.03132	0.03734	0.817	0.035	0.043	0.119	0.881	21	156
0.03419	0.03122	0.03734	0.812	0.035	0.044	0.118	0.882	21	157
0.03412	0.03115	0.03729	0.812	0.035	0.044	0.118	0.882	21	157
0.03405	0.03112	0.03726	0.812	0.035	0.044	0.118	0.882	21	157
0.03393	0.03107	0.03705	0.773	0.034	0.044	0.113	0.887	20	157
0.03393	0.03107	0.03705	0.773	0.034	0.044	0.113	0.887	20	157
0.03375	0.03082	0.03703	0.772	0.035	0.046	0.113	0.887	21	165
0.03304	0.03000	0.03664	0.699	0.037	0.053	0.103	0.897	22	191
0.03243	0.03000	0.03497	0.683	0.030	0.044	0.101	0.899	18	160
0.03242	0.02995	0.03497	0.678	0.030	0.045	0.101	0.899	18	161
0.03242	0.02995	0.03497	0.678	0.030	0.045	0.101	0.899	18	161
0.03144	0.02802	0.03496	0.653	0.040	0.062	0.097	0.903	24	223
0.03045	0.02802	0.03323	0.596	0.027	0.045	0.089	0.911	16	163
0.02332	0.01535	0.03323	0.544	0.110	0.202	0.082	0.918	65	725
0.01691	0.01528	0.01871	0.375	0.019	0.049	0.058	0.942	11	178
0.01687	0.01528	0.01865	0.347	0.017	0.049	0.054	0.946	10	175
0.01687	0.01528	0.01865	0.347	0.017	0.049	0.054	0.946	10	175
0.00984	0.00444	0.01865	0.309	0.099	0.322	0.048	0.952	59	1158
0.00525	0.00444	0.00638	0.306	0.024	0.077	0.048	0.952	14	278
0.00525	0.00444	0.00638	0.306	0.024	0.077	0.048	0.952	14	278
0.00525	0.00444	0.00638	0.306	0.024	0.077	0.048	0.952	14	278
0.00520	0.00442	0.00634	0.296	0.024	0.080	0.047	0.953	14	287
0.00520	0.00442	0.00634	0.294	0.024	0.080	0.046	0.954	14	289
0.00520	0.00442	0.00634	0.294	0.024	0.080	0.046	0.954	14	289
0.00515	0.00441	0.00633	0.285	0.024	0.083	0.045	0.955	14	298
0.00514	0.00441	0.00633	0.283	0.024	0.083	0.045	0.955	14	300
0.00488	0.00441	0.00626	0.248	0.017	0.068	0.039	0.961	10	245
0.00484	0.00440	0.00618	0.223	0.015	0.068	0.035	0.965	9	245
0.00474	0.00436	0.00610	0.188	0.015	0.081	0.030	0.970	9	291
0.00464	0.00436	0.00550	0.152	0.012	0.078	0.024	0.976	7	279
0.00369	0.00095	0.00545	0.126	0.024	0.187	0.020	0.980	14	672
0.00243	0.00095	0.00336	0.102	0.007	0.066	0.017	0.983	4	238
0.00243	0.00095	0.00336	0.102	0.007	0.066	0.017	0.983	4	238
0.00145	0.00017	0.00336	0.102	0.013	0.132	0.017	0.983	8	476
0.00024	0.00000	0.00084	0.063	0.008	0.135	0.010	0.990	5	485
0.00011	0.00000	0.00037	0.034	0.003	0.098	0.006	0.994	2	353
